  Action           Privilege        Synopsis                                               
  ------           ---------        --------                                               
  WaitEvent        <none>           Wait for an event to occur.                            
  QueueReset       <none>           Reset queue statistics.                                
  QueueReload      <none>           Reload a queue, queues, or any sub-section of a queue o
  QueueRule        <none>           Queue Rules.                                           
  QueuePenalty     agent,all        Set the penalty for a queue member.                    
  QueueLog         agent,all        Adds custom entry in queue_log.                        
  QueuePause       agent,all        Makes a queue member temporarily unavailable.          
  QueueRemove      agent,all        Remove interface from queue.                           
  QueueAdd         agent,all        Add interface to queue.                                
  QueueSummary     <none>           Show queue summary.                                    
  QueueStatus      <none>           Show queue status.                                     
  Queues           <none>           Queues.                                                
  MuteAudio        system,all       Mute an audio stream                                   
  VoicemailUsersL  call,reporting,  List All Voicemail User Information.                   
  MixMonitorMute   <none>           Mute / unMute a Mixmonitor recording.                  
  PlayDTMF         call,all         Play DTMF signal on a specific channel.                
  MeetmeList       reporting,all    List participants in a conference.                     
  MeetmeUnmute     call,all         Unmute a Meetme user.                                  
  MeetmeMute       call,all         Mute a Meetme user.                                    
  AgentLogoff      agent,all        Sets an agent as no longer logged in.                  
  Agents           agent,all        Lists agents and their status.                         
  SKINNYshowline   system,reportin  Show SKINNY line (text format).                        
  SKINNYlines      system,reportin  List SKINNY lines (text format).                       
  SKINNYshowdevic  system,reportin  Show SKINNY device (text format).                      
  SKINNYdevices    system,reportin  List SKINNY devices (text format).                     
  IAXregistry      system,reportin  Show IAX registrations.                                
  IAXnetstats      system,reportin  Show IAX Netstats.                                     
  IAXpeerlist      system,reportin  List IAX Peers.                                        
  IAXpeers         system,reportin  List IAX peers.                                        
  DAHDIRestart     <none>           Fully Restart DAHDI channels (terminates calls).       
  DAHDIShowChanne  <none>           Show status of DAHDI channels.                         
  DAHDIDNDoff      <none>           Toggle DAHDI channel Do Not Disturb status OFF.        
  DAHDIDNDon       <none>           Toggle DAHDI channel Do Not Disturb status ON.         
  DAHDIDialOffhoo  <none>           Dial over DAHDI channel while offhook.                 
  DAHDIHangup      <none>           Hangup DAHDI Channel.                                  
  DAHDITransfer    <none>           Transfer DAHDI Channel.                                
  SIPnotify        system,all       Send a SIP notify.                                     
  SIPshowregistry  system,reportin  Show SIP registrations (text format).                  
  SIPqualifypeer   system,reportin  Qualify SIP peers.                                     
  SIPshowpeer      system,reportin  show SIP peer (text format).                           
  SIPpeers         system,reportin  List SIP peers (text format).                          
  AGI              agi,all          Add an AGI command to execute by Async AGI.            
  UnpauseMonitor   call,all         Unpause monitoring of a channel.                       
  PauseMonitor     call,all         Pause monitoring of a channel.                         
  ChangeMonitor    call,all         Change monitoring filename of a channel.               
  StopMonitor      call,all         Stop monitoring a channel.                             
  Monitor          call,all         Monitor a channel.                                     
  JabberSend       system,all       Sends a message to a Jabber Client.                    
  DBDelTree        system,all       Delete DB Tree.                                        
  DBDel            system,all       Delete DB entry.                                       
  DBPut            system,all       Put DB entry.                                          
  DBGet            system,reportin  Get DB Entry.                                          
  Bridge           call,all         Bridge two channels already in the PBX.                
  Park             call,all         Park a channel.                                        
  ParkedCalls      <none>           List parked calls.                                     
  ShowDialPlan     config,reportin  Show dialplan contexts and extensions                  
  AOCMessage       aoc,all          Generate an Advice of Charge message on a channel.     
  ModuleCheck      system,all       Check if module is loaded.                             
  ModuleLoad       system,all       Module management.                                     
  CoreShowChannel  system,reportin  List currently active channels.                        
  Reload           system,config,a  Send a reload event.                                   
  CoreStatus       system,reportin  Show PBX core status variables.                        
  CoreSettings     system,reportin  Show PBX core settings (version etc).                  
  UserEvent        user,all         Send an arbitrary event.                               
  UpdateConfig     config,all       Update basic configuration.                            
  SendText         call,all         Send text message to channel.                          
  ListCommands     <none>           List available manager commands.                       
  MailboxCount     call,reporting,  Check Mailbox Message Count.                           
  MailboxStatus    call,reporting,  Check mailbox.                                         
  AbsoluteTimeout  system,call,all  Set absolute timeout.                                  
  ExtensionState   call,reporting,  Check Extension Status.                                
  Command          command,all      Execute Asterisk CLI Command.                          
  Originate        originate,all    Originate a call.                                      
  Atxfer           call,all         Attended transfer.                                     
  Redirect         call,all         Redirect (transfer) a call.                            
  ListCategories   config,all       List categories in configuration file.                 
  CreateConfig     config,all       Creates an empty file in the configuration directory.  
  Status           system,call,rep  List channel status.                                   
  GetConfigJSON    system,config,a  Retrieve configuration (JSON format).                  
  GetConfig        system,config,a  Retrieve configuration.                                
  Getvar           call,reporting,  Gets a channel variable.                               
  Setvar           call,all         Set a channel variable.                                
  Ping             <none>           Keepalive command.                                     
  Hangup           system,call,all  Hangup channel.                                        
  Challenge        <none>           Generate Challenge for MD5 Auth.                       
  Login            <none>           Login Manager.                                         
  Logoff           <none>           Logoff Manager.                                        
  Events           <none>           Control Event Flow.                                    
  LocalOptimizeAw  system,call,all  Optimize away a local channel when possible.           
  DataGet          <none>           Retrieve the data api tree.   
